week,ward,zone,dengue_cases,four_week_baseline_proxy,breeding_sources_removed,screening_camps,trend_ratio,risk_tier
2026-01-05,NO-01,North,15,12,15,2,1.25,Medium
2026-01-05,CE-02,Central,19,17,24,5,1.12,Medium
2026-01-05,SO-03,South,33,22,33,8,1.50,High
2026-01-05,WE-04,West,29,27,42,4,1.07,Medium
2026-01-05,EA-05,East,46,32,51,7,1.44,High
2026-01-12,NO-06,North,13,13,20,3,1.00,Low
2026-01-12,CE-07,Central,25,18,29,6,1.39,High
2026-01-12,SO-08,South,23,23,38,2,1.00,Low
2026-01-12,WE-09,West,37,28,47,5,1.32,High
2026-01-12,EA-10,East,31,33,16,8,0.94,Medium
2026-01-19,NO-11,North,18,14,25,4,1.29,Medium
2026-01-19,CE-12,Central,17,19,34,7,0.89,Low
2026-01-19,SO-13,South,30,24,43,3,1.25,Medium
2026-01-19,WE-14,West,24,29,52,6,0.83,Medium
2026-01-19,EA-15,East,40,34,21,2,1.18,High
2026-01-26,NO-16,North,12,15,30,5,0.80,Low
2026-01-26,CE-17,Central,23,20,39,8,1.15,Medium
2026-01-26,SO-18,South,62,25,48,4,2.48,High
2026-01-26,WE-19,West,33,30,17,7,1.10,Medium
2026-01-26,EA-20,East,50,35,26,3,1.43,High
2026-02-02,NO-21,North,16,16,35,6,1.00,Low
2026-02-02,CE-22,Central,29,21,44,2,1.38,High
2026-02-02,SO-23,South,26,26,53,5,1.00,Medium
2026-02-02,WE-24,West,41,31,22,8,1.32,High
2026-02-02,EA-25,East,11,12,31,4,0.92,Low
2026-02-09,NO-26,North,22,17,40,7,1.29,Medium
2026-02-09,CE-27,Central,19,22,49,3,0.86,Low
2026-02-09,SO-28,South,33,27,18,6,1.22,Medium
2026-02-09,WE-29,West,27,32,27,2,0.84,Medium
2026-02-09,EA-30,East,15,13,36,5,1.15,Medium
2026-02-16,NO-01,North,14,18,45,8,0.78,Low
2026-02-16,CE-02,Central,26,23,54,4,1.13,Medium
2026-02-16,SO-03,South,42,28,23,7,1.50,High
2026-02-16,WE-04,West,36,33,32,3,1.09,High
2026-02-16,EA-05,East,34,14,41,6,2.43,High
2026-02-23,NO-06,North,19,19,50,2,1.00,Low
2026-02-23,CE-07,Central,33,24,19,5,1.38,High
2026-02-23,SO-08,South,29,29,28,8,1.00,Medium
2026-02-23,WE-09,West,45,34,37,4,1.32,High
2026-02-23,EA-10,East,14,15,46,7,0.93,Low
2026-03-02,NO-11,North,26,20,15,3,1.30,Medium
2026-03-02,CE-12,Central,22,25,24,6,0.88,Low
2026-03-02,SO-13,South,37,30,33,2,1.23,High
2026-03-02,WE-14,West,29,35,42,5,0.83,Medium
2026-03-02,EA-15,East,19,16,51,8,1.19,Medium
2026-03-09,NO-16,North,16,21,20,4,0.76,Low
2026-03-09,CE-17,Central,29,26,29,7,1.12,Medium
2026-03-09,SO-18,South,46,31,38,3,1.48,High
2026-03-09,WE-19,West,13,12,47,6,1.08,Medium
2026-03-09,EA-20,East,24,17,16,2,1.41,High
2026-03-16,NO-21,North,23,22,25,5,1.05,Low
2026-03-16,CE-22,Central,62,27,34,8,2.30,High
2026-03-16,SO-23,South,32,32,43,4,1.00,Medium
2026-03-16,WE-24,West,17,13,52,7,1.31,Medium
2026-03-16,EA-25,East,17,18,21,3,0.94,Low
2026-03-23,NO-26,North,29,23,30,6,1.26,Medium
2026-03-23,CE-27,Central,25,28,39,2,0.89,Medium
2026-03-23,SO-28,South,41,33,48,5,1.24,High
2026-03-23,WE-29,West,11,14,17,8,0.79,Low
2026-03-23,EA-30,East,22,19,26,4,1.16,Medium
